%,     Nos,    Arcos,  Usinas,  Componentes,  Componentes ^ -1,   Maior Componente,   Nos desconectados,
  0,     17,     19,       5,        3,           0.33,                 15,                   2,
  1,     17,     19,       5,        3,           0.33,                 15,                   2,
  2,     17,     19,       5,        3,           0.33,                 15,                   2,
  3,     17,     19,       5,        3,           0.33,                 15,                   2,
  5,     17,     19,       5,        3,           0.33,                 15,                   2,
  6,     17,     18,       5,        3,           0.33,                 15,                   2,
  7,     17,     18,       5,        3,           0.33,                 15,                   2,
  7,     17,     18,       5,        3,           0.33,                 15,                   2,
  8,     17,     18,       5,        3,           0.33,                 15,                   2,
  9,     17,     18,       5,        3,           0.33,                 15,                   2,
 10,     17,     17,       5,        3,           0.33,                 15,                   2,
 11,     17,     17,       5,        3,           0.33,                 15,                   2,
 12,     17,     17,       5,        3,           0.33,                 15,                   2,
 14,     17,     17,       5,        3,           0.33,                 15,                   2,
 15,     17,     17,       5,        3,           0.33,                 15,                   2,
 16,     17,     16,       5,        5,           0.20,                 13,                   4,
 17,     17,     16,       5,        5,           0.20,                 13,                   4,
 18,     17,     16,       5,        5,           0.20,                 13,                   4,
 19,     17,     16,       5,        5,           0.20,                 13,                   4,
 20,     17,     16,       5,        5,           0.20,                 13,                   4,
 21,     17,     16,       5,        5,           0.20,                 13,                   4,
 22,     17,     15,       5,        5,           0.20,                 13,                   4,
 23,     17,     15,       5,        5,           0.20,                 13,                   4,
 24,     17,     15,       5,        5,           0.20,                 13,                   4,
 25,     17,     15,       5,        5,           0.20,                 13,                   4,
 26,     17,     15,       5,        5,           0.20,                 13,                   4,
 27,     17,     14,       5,        5,           0.20,                 13,                   4,
 28,     17,     14,       5,        5,           0.20,                 13,                   4,
 29,     17,     14,       5,        5,           0.20,                 13,                   4,
 30,     17,     14,       5,        5,           0.20,                 13,                   4,
 31,     17,     14,       5,        5,           0.20,                 13,                   4,
 31,     17,     13,       5,        5,           0.20,                 13,                   4,
 32,     17,     13,       5,        5,           0.20,                 13,                   4,
 33,     17,     13,       5,        5,           0.20,                 13,                   4,
 34,     17,     13,       5,        5,           0.20,                 13,                   4,
 35,     17,     13,       5,        5,           0.20,                 13,                   4,
 36,     17,     12,       5,        6,           0.17,                  8,                   4,
 37,     17,     12,       5,        6,           0.17,                  8,                   4,
 38,     17,     12,       5,        6,           0.17,                  8,                   4,
 39,     17,     12,       5,        6,           0.17,                  8,                   4,
 40,     17,     12,       5,        6,           0.17,                  8,                   4,
 41,     17,     12,       5,        6,           0.17,                  8,                   4,
 42,     17,     11,       5,        7,           0.14,                  6,                   4,
 43,     17,     11,       5,        7,           0.14,                  6,                   4,
 44,     17,     11,       5,        7,           0.14,                  6,                   4,
 45,     17,     11,       5,        7,           0.14,                  6,                   4,
 46,     17,     11,       5,        7,           0.14,                  6,                   4,
 47,     17,     10,       5,        8,           0.13,                  5,                   5,
 48,     17,     10,       5,        8,           0.13,                  5,                   5,
 49,     17,     10,       5,        8,           0.13,                  5,                   5,
 50,     17,     10,       5,        8,           0.13,                  5,                   5,
 51,     17,     10,       5,        8,           0.13,                  5,                   5,
 52,     17,      9,       5,        9,           0.11,                  5,                   6,
 53,     17,      9,       5,        9,           0.11,                  5,                   6,
 54,     17,      9,       5,        9,           0.11,                  5,                   6,
 55,     17,      9,       5,        9,           0.11,                  5,                   6,
 56,     17,      9,       5,        9,           0.11,                  5,                   6,
 57,     17,      8,       5,       10,           0.10,                  4,                   6,
 58,     17,      8,       5,       10,           0.10,                  4,                   6,
 59,     17,      8,       5,       10,           0.10,                  4,                   6,
 60,     17,      8,       5,       10,           0.10,                  4,                   6,
 61,     17,      8,       5,       10,           0.10,                  4,                   6,
 62,     17,      8,       5,       10,           0.10,                  4,                   6,
 63,     17,      7,       5,       11,           0.09,                  4,                   6,
 64,     17,      7,       5,       11,           0.09,                  4,                   6,
 65,     17,      7,       5,       11,           0.09,                  4,                   6,
 66,     17,      7,       5,       11,           0.09,                  4,                   6,
 67,     17,      7,       5,       11,           0.09,                  4,                   6,
 68,     17,      6,       5,       12,           0.08,                  4,                   7,
 69,     17,      6,       5,       12,           0.08,                  4,                   7,
 70,     17,      6,       5,       12,           0.08,                  4,                   7,
 71,     17,      6,       5,       12,           0.08,                  4,                   7,
 72,     17,      6,       5,       12,           0.08,                  4,                   7,
 73,     17,      5,       5,       13,           0.08,                  4,                   8,
 74,     17,      5,       5,       13,           0.08,                  4,                   8,
 75,     17,      5,       5,       13,           0.08,                  4,                   8,
 76,     17,      5,       5,       13,           0.08,                  4,                   8,
 77,     17,      5,       5,       13,           0.08,                  4,                   8,
 78,     17,      4,       5,       14,           0.07,                  4,                   9,
 79,     17,      4,       5,       14,           0.07,                  4,                   9,
 80,     17,      4,       5,       14,           0.07,                  4,                   9,
 81,     17,      4,       5,       14,           0.07,                  4,                   9,
 82,     17,      4,       5,       14,           0.07,                  4,                   9,
 83,     17,      4,       5,       14,           0.07,                  4,                   9,
 84,     17,      3,       5,       16,           0.06,                  2,                  11,
 85,     17,      3,       5,       16,           0.06,                  2,                  11,
 86,     17,      3,       5,       16,           0.06,                  2,                  11,
 87,     17,      3,       5,       16,           0.06,                  2,                  11,
 88,     17,      3,       5,       16,           0.06,                  2,                  11,
 89,     17,      2,       5,       16,           0.06,                  2,                  11,
 90,     17,      2,       5,       16,           0.06,                  2,                  11,
 91,     17,      2,       5,       16,           0.06,                  2,                  11,
 92,     17,      2,       5,       16,           0.06,                  2,                  11,
 93,     17,      2,       5,       16,           0.06,                  2,                  11,
 94,     17,      1,       5,       16,           0.06,                  2,                  11,
 95,     17,      1,       5,       16,           0.06,                  2,                  11,
 96,     17,      1,       5,       16,           0.06,                  2,                  11,
 97,     17,      1,       5,       16,           0.06,                  2,                  11,
 98,     17,      1,       5,       16,           0.06,                  2,                  11,
 99,     17,      1,       5,       16,           0.06,                  2,                  11,
