%,     Nos,    Arcos,  Usinas,  Componentes,  Componentes ^ -1,   Maior Componente,   Nos desconectados,
  0,     33,     30,      14,        9,           0.11,                 25,                   4,
  1,     33,     30,      14,        9,           0.11,                 25,                   4,
  2,     33,     30,      14,        9,           0.11,                 25,                   4,
  3,     33,     29,      14,        9,           0.11,                 25,                   4,
  5,     33,     29,      14,        9,           0.11,                 25,                   4,
  6,     33,     29,      14,        9,           0.11,                 25,                   4,
  7,     33,     28,      14,       10,           0.10,                 22,                   4,
  7,     33,     28,      14,       10,           0.10,                 21,                   4,
  8,     33,     28,      14,       11,           0.09,                 14,                   5,
  9,     33,     28,      14,       10,           0.10,                 22,                   4,
 10,     33,     27,      14,       11,           0.09,                 21,                   4,
 11,     33,     27,      14,       13,           0.08,                 21,                   7,
 12,     33,     27,      14,        9,           0.11,                 25,                   4,
 14,     33,     26,      14,       10,           0.10,                 13,                   4,
 15,     33,     26,      14,       15,           0.07,                 18,                   9,
 16,     33,     26,      14,       10,           0.10,                 24,                   5,
 17,     33,     25,      14,       13,           0.08,                 13,                   6,
 18,     33,     25,      14,       11,           0.09,                 23,                   4,
 19,     33,     25,      14,       12,           0.08,                 18,                   4,
 20,     33,     24,      14,       14,           0.07,                 18,                   7,
 21,     33,     24,      14,       13,           0.08,                 21,                   7,
 22,     33,     24,      14,       13,           0.08,                 21,                   6,
 23,     33,     24,      14,       13,           0.08,                 18,                   6,
 24,     33,     23,      14,       13,           0.08,                 10,                   5,
 25,     33,     23,      14,       15,           0.07,                 18,                   8,
 26,     33,     23,      14,       13,           0.08,                 11,                   7,
 27,     33,     22,      14,       14,           0.07,                 20,                   7,
 28,     33,     22,      14,       14,           0.07,                 13,                   6,
 29,     33,     22,      14,       12,           0.08,                 10,                   4,
 30,     33,     21,      14,       14,           0.07,                 17,                   5,
 31,     33,     21,      14,       17,           0.06,                 10,                   8,
 31,     33,     21,      14,       16,           0.06,                 14,                   7,
 32,     33,     21,      14,       17,           0.06,                 17,                   7,
 33,     33,     20,      14,       16,           0.06,                 11,                   6,
 34,     33,     20,      14,       14,           0.07,                 18,                   6,
 35,     33,     20,      14,       18,           0.06,                  9,                  10,
 36,     33,     19,      14,       17,           0.06,                 10,                   9,
 37,     33,     19,      14,       17,           0.06,                 15,                   5,
 38,     33,     19,      14,       17,           0.06,                 13,                   8,
 39,     33,     19,      14,       17,           0.06,                 10,                   7,
 40,     33,     18,      14,       18,           0.06,                  9,                   9,
 41,     33,     18,      14,       20,           0.05,                  9,                  11,
 42,     33,     18,      14,       19,           0.05,                  8,                  10,
 43,     33,     17,      14,       19,           0.05,                  8,                   9,
 44,     33,     17,      14,       17,           0.06,                 11,                   7,
 45,     33,     17,      14,       18,           0.06,                  9,                   9,
 46,     33,     16,      14,       19,           0.05,                 13,                   8,
 47,     33,     16,      14,       18,           0.06,                  7,                   8,
 48,     33,     16,      14,       21,           0.05,                  9,                  10,
 49,     33,     16,      14,       19,           0.05,                 13,                  11,
 50,     33,     15,      14,       21,           0.05,                  7,                  10,
 51,     33,     15,      14,       21,           0.05,                  6,                   9,
 52,     33,     15,      14,       21,           0.05,                 11,                  10,
 53,     33,     14,      14,       21,           0.05,                  7,                   9,
 54,     33,     14,      14,       23,           0.04,                  4,                  13,
 55,     33,     14,      14,       22,           0.05,                  8,                  10,
 56,     33,     13,      14,       28,           0.04,                  4,                  15,
 57,     33,     13,      14,       24,           0.04,                  6,                  12,
 58,     33,     13,      14,       24,           0.04,                  8,                  13,
 59,     33,     13,      14,       25,           0.04,                  6,                  13,
 60,     33,     12,      14,       23,           0.04,                  5,                  10,
 61,     33,     12,      14,       23,           0.04,                  6,                  12,
 62,     33,     12,      14,       28,           0.04,                  4,                  14,
 63,     33,     11,      14,       24,           0.04,                  4,                  12,
 64,     33,     11,      14,       26,           0.04,                  3,                  12,
 65,     33,     11,      14,       27,           0.04,                  4,                  14,
 66,     33,     10,      14,       25,           0.04,                  4,                  12,
 67,     33,     10,      14,       24,           0.04,                  5,                  12,
 68,     33,     10,      14,       27,           0.04,                  7,                  15,
 69,     33,     10,      14,       29,           0.03,                  3,                  16,
 70,     33,      9,      14,       25,           0.04,                  6,                  12,
 71,     33,      9,      14,       25,           0.04,                  7,                  12,
 72,     33,      9,      14,       25,           0.04,                  5,                  12,
 73,     33,      8,      14,       29,           0.03,                  5,                  16,
 74,     33,      8,      14,       29,           0.03,                  3,                  16,
 75,     33,      8,      14,       26,           0.04,                  4,                  12,
 76,     33,      7,      14,       28,           0.04,                  5,                  14,
 77,     33,      7,      14,       28,           0.04,                  3,                  14,
 78,     33,      7,      14,       30,           0.03,                  3,                  17,
 79,     33,      7,      14,       27,           0.04,                  4,                  15,
 80,     33,      6,      14,       28,           0.04,                  3,                  15,
 81,     33,      6,      14,       30,           0.03,                  3,                  17,
 82,     33,      6,      14,       28,           0.04,                  4,                  14,
 83,     33,      5,      14,       28,           0.04,                  3,                  14,
 84,     33,      5,      14,       29,           0.03,                  4,                  16,
 85,     33,      5,      14,       30,           0.03,                  2,                  17,
 86,     33,      4,      14,       31,           0.03,                  2,                  17,
 87,     33,      4,      14,       30,           0.03,                  3,                  16,
 88,     33,      4,      14,       30,           0.03,                  3,                  17,
 89,     33,      4,      14,       31,           0.03,                  2,                  17,
 90,     33,      3,      14,       32,           0.03,                  2,                  18,
 91,     33,      3,      14,       32,           0.03,                  2,                  18,
 92,     33,      3,      14,       31,           0.03,                  3,                  18,
 93,     33,      2,      14,       31,           0.03,                  2,                  17,
 94,     33,      2,      14,       32,           0.03,                  2,                  18,
 95,     33,      2,      14,       32,           0.03,                  2,                  18,
 96,     33,      1,      14,       32,           0.03,                  2,                  18,
 97,     33,      1,      14,       33,           0.03,                  1,                  19,
