%,     Nos,    Arcos,  Usinas,  Componentes,  Componentes ^ -1,   Maior Componente,   Nos desconectados,
  0,     33,     30,      14,        9,           0.11,                 25,                   4,
  1,     33,     30,      14,        9,           0.11,                 25,                   4,
  2,     33,     30,      14,        9,           0.11,                 25,                   4,
  3,     33,     29,      14,       10,           0.10,                 24,                   4,
  5,     33,     29,      14,       10,           0.10,                 15,                   4,
  6,     33,     29,      14,        9,           0.11,                 25,                   4,
  7,     33,     28,      14,       12,           0.08,                 22,                   7,
  7,     33,     28,      14,       11,           0.09,                 23,                   6,
  8,     33,     28,      14,       11,           0.09,                 21,                   4,
  9,     33,     28,      14,       10,           0.10,                 13,                   4,
 10,     33,     27,      14,       10,           0.10,                 24,                   4,
 11,     33,     27,      14,       10,           0.10,                 24,                   5,
 12,     33,     27,      14,       10,           0.10,                 24,                   4,
 14,     33,     26,      14,       11,           0.09,                 22,                   5,
 15,     33,     26,      14,       11,           0.09,                 21,                   4,
 16,     33,     26,      14,       11,           0.09,                 11,                   4,
 17,     33,     25,      14,       12,           0.08,                 22,                   7,
 18,     33,     25,      14,       12,           0.08,                 22,                   6,
 19,     33,     25,      14,       12,           0.08,                 19,                   6,
 20,     33,     24,      14,       13,           0.08,                 11,                   4,
 21,     33,     24,      14,       13,           0.08,                 12,                   5,
 22,     33,     24,      14,       14,           0.07,                 17,                   7,
 23,     33,     24,      14,       11,           0.09,                 23,                   4,
 24,     33,     23,      14,       11,           0.09,                 11,                   4,
 25,     33,     23,      14,       14,           0.07,                 20,                   7,
 26,     33,     23,      14,       11,           0.09,                 22,                   4,
 27,     33,     22,      14,       14,           0.07,                 19,                   6,
 28,     33,     22,      14,       13,           0.08,                 18,                   4,
 29,     33,     22,      14,       15,           0.07,                 10,                   6,
 30,     33,     21,      14,       15,           0.07,                 19,                   8,
 31,     33,     21,      14,       18,           0.06,                 10,                   8,
 31,     33,     21,      14,       15,           0.07,                 16,                   4,
 32,     33,     21,      14,       15,           0.07,                 10,                   7,
 33,     33,     20,      14,       13,           0.08,                 15,                   4,
 34,     33,     20,      14,       17,           0.06,                 14,                   8,
 35,     33,     20,      14,       13,           0.08,                 21,                   4,
 36,     33,     19,      14,       17,           0.06,                  8,                   7,
 37,     33,     19,      14,       17,           0.06,                 11,                   5,
 38,     33,     19,      14,       16,           0.06,                 10,                   8,
 39,     33,     19,      14,       18,           0.06,                 10,                   8,
 40,     33,     18,      14,       19,           0.05,                 14,                   8,
 41,     33,     18,      14,       17,           0.06,                 10,                   6,
 42,     33,     18,      14,       18,           0.06,                  9,                   8,
 43,     33,     17,      14,       19,           0.05,                 11,                   9,
 44,     33,     17,      14,       19,           0.05,                  7,                   8,
 45,     33,     17,      14,       24,           0.04,                  8,                  13,
 46,     33,     16,      14,       21,           0.05,                  6,                  10,
 47,     33,     16,      14,       19,           0.05,                  9,                  10,
 48,     33,     16,      14,       20,           0.05,                  8,                   9,
 49,     33,     16,      14,       18,           0.06,                 11,                   8,
 50,     33,     15,      14,       22,           0.05,                  8,                  11,
 51,     33,     15,      14,       22,           0.05,                  7,                  11,
 52,     33,     15,      14,       19,           0.05,                  8,                   9,
 53,     33,     14,      14,       22,           0.05,                  5,                  10,
 54,     33,     14,      14,       19,           0.05,                  7,                   7,
 55,     33,     14,      14,       22,           0.05,                  6,                  12,
 56,     33,     13,      14,       24,           0.04,                  4,                  13,
 57,     33,     13,      14,       27,           0.04,                  4,                  14,
 58,     33,     13,      14,       22,           0.05,                 11,                  11,
 59,     33,     13,      14,       24,           0.04,                  8,                  12,
 60,     33,     12,      14,       21,           0.05,                  7,                   9,
 61,     33,     12,      14,       22,           0.05,                  6,                  11,
 62,     33,     12,      14,       22,           0.05,                  5,                  12,
 63,     33,     11,      14,       23,           0.04,                  6,                  11,
 64,     33,     11,      14,       26,           0.04,                  4,                  12,
 65,     33,     11,      14,       27,           0.04,                  4,                  15,
 66,     33,     10,      14,       27,           0.04,                  6,                  16,
 67,     33,     10,      14,       26,           0.04,                  5,                  14,
 68,     33,     10,      14,       27,           0.04,                  6,                  14,
 69,     33,     10,      14,       28,           0.04,                  2,                  15,
 70,     33,      9,      14,       30,           0.03,                  3,                  16,
 71,     33,      9,      14,       25,           0.04,                  4,                  11,
 72,     33,      9,      14,       24,           0.04,                  5,                  12,
 73,     33,      8,      14,       28,           0.04,                  3,                  14,
 74,     33,      8,      14,       31,           0.03,                  3,                  18,
 75,     33,      8,      14,       26,           0.04,                  3,                  13,
 76,     33,      7,      14,       29,           0.03,                  3,                  16,
 77,     33,      7,      14,       27,           0.04,                  4,                  13,
 78,     33,      7,      14,       28,           0.04,                  4,                  16,
 79,     33,      7,      14,       27,           0.04,                  6,                  13,
 80,     33,      6,      14,       30,           0.03,                  3,                  16,
 81,     33,      6,      14,       27,           0.04,                  4,                  13,
 82,     33,      6,      14,       30,           0.03,                  3,                  16,
 83,     33,      5,      14,       28,           0.04,                  3,                  14,
 84,     33,      5,      14,       28,           0.04,                  3,                  14,
 85,     33,      5,      14,       31,           0.03,                  3,                  17,
 86,     33,      4,      14,       30,           0.03,                  3,                  17,
 87,     33,      4,      14,       30,           0.03,                  2,                  16,
 88,     33,      4,      14,       32,           0.03,                  2,                  18,
 89,     33,      4,      14,       29,           0.03,                  3,                  15,
 90,     33,      3,      14,       33,           0.03,                  1,                  19,
 91,     33,      3,      14,       30,           0.03,                  3,                  17,
 92,     33,      3,      14,       30,           0.03,                  3,                  17,
 93,     33,      2,      14,       32,           0.03,                  2,                  18,
 94,     33,      2,      14,       32,           0.03,                  2,                  18,
 95,     33,      2,      14,       33,           0.03,                  1,                  19,
 96,     33,      1,      14,       33,           0.03,                  1,                  19,
 97,     33,      1,      14,       32,           0.03,                  2,                  18,
