%,     Nos,    Arcos,  Usinas,  Componentes,  Componentes ^ -1,   Maior Componente,   Nos desconectados,
  0,     12,     11,       4,        5,           0.20,                  8,                   3,
  1,     12,     11,       4,        5,           0.20,                  8,                   3,
  2,     12,     11,       4,        5,           0.20,                  8,                   3,
  3,     12,     11,       4,        5,           0.20,                  8,                   3,
  5,     12,     11,       4,        5,           0.20,                  8,                   3,
  6,     12,     11,       4,        5,           0.20,                  8,                   3,
  7,     12,     11,       4,        5,           0.20,                  8,                   3,
  7,     12,     11,       4,        5,           0.20,                  8,                   3,
  8,     12,     11,       4,        5,           0.20,                  8,                   3,
  9,     12,     10,       4,        5,           0.20,                  8,                   3,
 10,     12,     10,       4,        5,           0.20,                  8,                   3,
 11,     12,     10,       4,        5,           0.20,                  8,                   3,
 12,     12,     10,       4,        5,           0.20,                  8,                   3,
 14,     12,     10,       4,        5,           0.20,                  8,                   3,
 15,     12,     10,       4,        5,           0.20,                  8,                   3,
 16,     12,     10,       4,        5,           0.20,                  8,                   3,
 17,     12,     10,       4,        5,           0.20,                  8,                   3,
 18,     12,     10,       4,        5,           0.20,                  8,                   3,
 19,     12,      9,       4,        6,           0.17,                  7,                   3,
 20,     12,      9,       4,        6,           0.17,                  7,                   3,
 21,     12,      9,       4,        6,           0.17,                  7,                   3,
 22,     12,      9,       4,        6,           0.17,                  7,                   3,
 23,     12,      9,       4,        6,           0.17,                  7,                   3,
 24,     12,      9,       4,        6,           0.17,                  7,                   3,
 25,     12,      9,       4,        6,           0.17,                  7,                   3,
 26,     12,      9,       4,        6,           0.17,                  7,                   3,
 27,     12,      9,       4,        6,           0.17,                  7,                   3,
 28,     12,      8,       4,        6,           0.17,                  7,                   3,
 29,     12,      8,       4,        6,           0.17,                  7,                   3,
 30,     12,      8,       4,        6,           0.17,                  7,                   3,
 31,     12,      8,       4,        6,           0.17,                  7,                   3,
 31,     12,      8,       4,        6,           0.17,                  7,                   3,
 32,     12,      8,       4,        6,           0.17,                  7,                   3,
 33,     12,      8,       4,        6,           0.17,                  7,                   3,
 34,     12,      8,       4,        6,           0.17,                  7,                   3,
 35,     12,      8,       4,        6,           0.17,                  7,                   3,
 36,     12,      7,       4,        6,           0.17,                  7,                   3,
 37,     12,      7,       4,        6,           0.17,                  7,                   3,
 38,     12,      7,       4,        6,           0.17,                  7,                   3,
 39,     12,      7,       4,        6,           0.17,                  7,                   3,
 40,     12,      7,       4,        6,           0.17,                  7,                   3,
 41,     12,      7,       4,        6,           0.17,                  7,                   3,
 42,     12,      7,       4,        6,           0.17,                  7,                   3,
 43,     12,      7,       4,        6,           0.17,                  7,                   3,
 44,     12,      7,       4,        6,           0.17,                  7,                   3,
 45,     12,      6,       4,        7,           0.14,                  6,                   4,
 46,     12,      6,       4,        7,           0.14,                  6,                   4,
 47,     12,      6,       4,        7,           0.14,                  6,                   4,
 48,     12,      6,       4,        7,           0.14,                  6,                   4,
 49,     12,      6,       4,        7,           0.14,                  6,                   4,
 50,     12,      6,       4,        7,           0.14,                  6,                   4,
 51,     12,      6,       4,        7,           0.14,                  6,                   4,
 52,     12,      6,       4,        7,           0.14,                  6,                   4,
 53,     12,      6,       4,        7,           0.14,                  6,                   4,
 54,     12,      5,       4,        8,           0.13,                  5,                   5,
 55,     12,      5,       4,        8,           0.13,                  5,                   5,
 56,     12,      5,       4,        8,           0.13,                  5,                   5,
 57,     12,      5,       4,        8,           0.13,                  5,                   5,
 58,     12,      5,       4,        8,           0.13,                  5,                   5,
 59,     12,      5,       4,        8,           0.13,                  5,                   5,
 60,     12,      5,       4,        8,           0.13,                  5,                   5,
 61,     12,      5,       4,        8,           0.13,                  5,                   5,
 62,     12,      5,       4,        8,           0.13,                  4,                   4,
 63,     12,      4,       4,        8,           0.13,                  4,                   4,
 64,     12,      4,       4,        8,           0.13,                  4,                   4,
 65,     12,      4,       4,        8,           0.13,                  4,                   4,
 66,     12,      4,       4,        8,           0.13,                  4,                   4,
 67,     12,      4,       4,        8,           0.13,                  4,                   4,
 68,     12,      4,       4,        8,           0.13,                  4,                   4,
 69,     12,      4,       4,        8,           0.13,                  4,                   4,
 70,     12,      4,       4,        8,           0.13,                  4,                   4,
 71,     12,      4,       4,        8,           0.13,                  4,                   4,
 72,     12,      3,       4,        9,           0.11,                  3,                   5,
 73,     12,      3,       4,        9,           0.11,                  3,                   5,
 74,     12,      3,       4,        9,           0.11,                  3,                   5,
 75,     12,      3,       4,        9,           0.11,                  3,                   5,
 76,     12,      3,       4,        9,           0.11,                  3,                   5,
 77,     12,      3,       4,        9,           0.11,                  3,                   5,
 78,     12,      3,       4,        9,           0.11,                  3,                   5,
 79,     12,      3,       4,        9,           0.11,                  3,                   5,
 80,     12,      3,       4,        9,           0.11,                  3,                   5,
 81,     12,      2,       4,       11,           0.09,                  2,                   7,
 82,     12,      2,       4,       11,           0.09,                  2,                   7,
 83,     12,      2,       4,       11,           0.09,                  2,                   7,
 84,     12,      2,       4,       11,           0.09,                  2,                   7,
 85,     12,      2,       4,       11,           0.09,                  2,                   7,
 86,     12,      2,       4,       11,           0.09,                  2,                   7,
 87,     12,      2,       4,       11,           0.09,                  2,                   7,
 88,     12,      2,       4,       11,           0.09,                  2,                   7,
 89,     12,      2,       4,       11,           0.09,                  2,                   7,
 90,     12,      1,       4,       12,           0.08,                  1,                   8,
 91,     12,      1,       4,       12,           0.08,                  1,                   8,
 92,     12,      1,       4,       12,           0.08,                  1,                   8,
 93,     12,      1,       4,       12,           0.08,                  1,                   8,
 94,     12,      1,       4,       12,           0.08,                  1,                   8,
 95,     12,      1,       4,       12,           0.08,                  1,                   8,
 96,     12,      1,       4,       12,           0.08,                  1,                   8,
 97,     12,      1,       4,       12,           0.08,                  1,                   8,
 98,     12,      1,       4,       12,           0.08,                  1,                   8,
 99,     12,      1,       4,       12,           0.08,                  1,                   8,
